code,coname,house,analyst,carm,yy,mm,dd,title
78930,GS,KB투자증권,박재철,0.0339012263,2012.0,12.0,28.0,GS
14620,성광벤드,KDB대우증권,성기종,-0.030333436,2012.0,11.0,20.0,성광벤드
23160,태광,KDB대우증권,성기종,-0.060933436,2012.0,11.0,20.0,태광
53000,우리금융,LIG투자증권,손준범,-0.000829984,2012.0,2.0,21.0,우리금융
105560,KB금융,LIG투자증권,손준범,-0.045129984,2012.0,2.0,21.0,KB금융
120,CJ대한통운,동양증권,강성진,0.0307141316,2012.0,10.0,15.0,CJ대한통운
3490,대한항공,동양증권,강성진,0.0460464156,2012.0,1.0,25.0,대한항공
7660,이수페타시스,동양증권,최현재,-0.029150302,2012.0,11.0,26.0,이수페타시스
11200,현대상선,동양증권,강성진,-0.001953584,2012.0,1.0,25.0,현대상선
20560,아시아나항공,동양증권,강성진,0.0055464156,2012.0,1.0,25.0,아시아나항공
20560,아시아나항공,동양증권,강성진,0.0214141316,2012.0,10.0,15.0,아시아나항공
28670,팬오션,동양증권,강성진,0.0627464156,2012.0,1.0,25.0,STX팬오션
28670,팬오션,동양증권,강성진,0.0627464156,2012.0,1.0,25.0,STX팬오션
28670,팬오션,동양증권,강성진,0.0429141316,2012.0,10.0,15.0,STX팬오션
29460,케이씨,동양증권,오경택,0.0012496985,2012.0,11.0,26.0,케이씨텍
33240,자화전자,동양증권,최현재,0.0760496985,2012.0,11.0,26.0,자화전자
36570,엔씨소프트,동양증권,이창영,0.0264584883,2012.0,4.0,5.0,엔씨소프트
60720,KH바텍,동양증권,최현재,-0.013850302,2012.0,11.0,26.0,KH바텍
117930,한진해운,동양증권,강성진,0.0215464156,2012.0,1.0,25.0,한진해운
117930,한진해운,동양증권,강성진,0.0218141316,2012.0,10.0,15.0,한진해운
240,한국테크놀로지그룹,부국증권,안종훈,-0.040758344,2012.0,1.0,2.0,한국타이어
13570,디와이,부국증권,안종훈,-0.007458344,2012.0,1.0,2.0,동양기전
30000,제일기획,부국증권,김성훈,0.0092416561,2012.0,1.0,2.0,제일기획
34230,파라다이스,부국증권,김성훈,0.0507416561,2012.0,1.0,2.0,파라다이스
92200,디아이씨,부국증권,안종훈,0.0340416561,2012.0,1.0,2.0,디아이씨
102710,이엔에프테크놀로지,부국증권,장인범,-0.026058344,2012.0,1.0,2.0,이엔에프테크놀로지
6650,대한유화,삼성증권,김승우,-0.09738118,2012.0,5.0,15.0,대한유화
4020,현대제철,신영증권,조강운,-0.0521466,2012.0,2.0,16.0,현대제철
93050,LF,신영증권,서정연,0.0013348768,2012.0,8.0,16.0,LG패션
3470,유안타증권,신한금융투자,손미지,-0.028614272,2012.0,7.0,18.0,동양증권
4800,효성,유진투자증권,곽진희,0.0166326683,2012.0,1.0,17.0,효성
1800,오리온홀딩스,하나대투증권,강희영,-0.020455064,2012.0,3.0,26.0,오리온
97950,CJ제일제당,하나대투증권,강희영,-0.003055064,2012.0,3.0,26.0,CJ제일제당
53000,우리금융,하이투자증권,유상호,0.0934330986,2012.0,3.0,13.0,우리금융지주
55550,신한지주,하이투자증권,유상호,0.0276330986,2012.0,3.0,13.0,신한금융지주
86790,하나금융지주,하이투자증권,유상호,0.0486330986,2012.0,3.0,13.0,하나금융지주
12330,현대모비스,한양증권,김연우,0.0073616155,2012.0,2.0,28.0,현대모비스
1230,동국제강,현대증권,김지환,0.0687509228,2012.0,5.0,16.0,동국제강
60,메리츠화재,KB투자증권,유승창,0.0391366632,2013.0,11.0,1.0,메리츠화재
810,삼성화재,KB투자증권,유승창,0.0023366632,2013.0,11.0,1.0,삼성화재
1450,현대해상,KB투자증권,유승창,0.0249366632,2013.0,11.0,1.0,현대해상
2350,넥센타이어,KB투자증권,신정관,-0.071735088,2013.0,1.0,4.0,넥센타이어
5830,DB손해보험,KB투자증권,유승창,0.0335366632,2013.0,11.0,1.0,동부화재
34120,SBS,KB투자증권,최훈,-0.029735088,2013.0,1.0,4.0,SBS
34230,파라다이스,KB투자증권,박소연,-0.029935088,2013.0,1.0,4.0,파라다이스
35250,강원랜드,KB투자증권,박소연,0.008864912,2013.0,1.0,4.0,강원랜드
36460,한국가스공사,KB투자증권,최원열,-0.038096353,2013.0,10.0,4.0,한국가스공사
39130,하나투어,KB투자증권,박소연,0.033064912,2013.0,1.0,4.0,하나투어
52690,한전기술,KB투자증권,최원열,-0.027496353,2013.0,10.0,4.0,한전기술
80160,모두투어,KB투자증권,박소연,0.061464912,2013.0,1.0,4.0,모두투어
117930,한진해운,KB투자증권,최원열,-0.031931228,2013.0,10.0,7.0,한진해운
130960,CJ E&M,KB투자증권,최훈,0.164864912,2013.0,1.0,4.0,CJ E&M
660,SK하이닉스,KDB대우증권,송종호,0.001426812,2013.0,2.0,21.0,SK하이닉스
5930,삼성전자,KDB대우증권,송종호,0.012826812,2013.0,2.0,21.0,삼성전자
33640,네패스,KDB대우증권,송종호,0.025026812,2013.0,2.0,21.0,네패스
