code,idx,carm,carn,hprm,hprn,date,mret,yy,mm,dd,coname,house,analyst,title,recomm,tprice,cprice,eps,recommend,ch_recomm,ch_price,dev_price,ch_eps,pnum,nnum,tone,anal_cov,mkt,mv,beme,logmv,up_gr,down_gr,pos_tone,neg_tone,up_gr_size,down_gr_size,ch_price_size,ch_eps_size,pos_tone_size,neg_tone_size,up_gr_nanal,down_gr_nanal,ch_price_nanal,ch_eps_nanal,pos_tone_nanal,neg_tone_nanal,ch_price_up,ch_price_down,ch_price_pos,ch_price_neg,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,lrgcode,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,car
122900,1756,0.0538898857,0.0502745967,0.0518911744,0.0482353491,20150123.0,0.9179570325,2015.0,1.0,23.0,아이마켓코리아,KB투자증권,양지혜,아이마켓코리아,BUY,"36,000","26,650",1170.0,4.0,0.0,-0.1,0.3508442777,-0.210526316,0.0,0.0,0.0,11.0,유가증권시장,1020790900000.0,0.4242851658,27.651598792,0.0,0.0,0.0,0.0,0.0,0.0,-2.765159879,-5.821389219,0.0,0.0,0.0,0.0,-1.1,-2.315789474,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3889885717
10620,1967,0.0080348188,0.0105600186,0.007571737,0.0102087945,20151130.0,-1.683100705,2015.0,11.0,30.0,현대미포조선,KDB대우증권,성기종,임전무퇴,매수,"100,000","62,900",6036.0,4.0,0.0,0.0,0.5898251192,-1.190759118,0.0,0.0,0.0,18.0,유가증권시장,1394000000000.0,1.3820647303,27.963198428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.29743349,0.0,0.0,0.0,0.0,0.0,-21.43366412,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8034818807
23530,1965,0.0315069558,0.0538366271,0.0311697101,0.0532963983,20151126.0,1.0060855722,2015.0,11.0,26.0,롯데쇼핑,KDB대우증권,이준기,대마불사,TRADING BUY,"266,000","232,000",9879.0,4.0,0.0,-0.036231884,0.1465517241,-0.433055954,0.0,0.0,0.0,24.0,유가증권시장,8597013500000.0,2.0406943179,29.782435993,0.0,0.0,0.0,0.0,0.0,0.0,-1.079073768,-12.89746123,0.0,0.0,0.0,0.0,-0.869565217,-10.3933429,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1506955795
10140,1841,-0.00847741,-0.003214297,-0.008562103,-0.00318448,20150601.0,-0.432064769,2015.0,6.0,1.0,삼성중공업,LIG투자증권,양형모,삼성중공업,HOLD,"20,000","17,900",919.0,3.0,0.0,0.0,0.1173184358,0.442700157,0.0,0.0,0.0,23.0,유가증권시장,4605964000000.0,1.2098633707,29.158373091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.908416345,0.0,0.0,0.0,0.0,0.0,10.182103611,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.847740954
17670,1845,0.0153078012,0.026483489,0.0146816808,0.0261302621,20150605.0,-0.149370881,2015.0,6.0,5.0,SK텔레콤,LIG투자증권,김인필,구원투수,BUY,"340,000","242,500",25193.0,4.0,0.0,0.5454545455,0.4020618557,0.5802910551,0.0,0.0,0.0,21.0,유가증권시장,21639851000000.0,0.7046384154,30.705557664,0.0,0.0,0.0,0.0,0.0,0.0,16.748485998,17.818160453,0.0,0.0,0.0,0.0,11.454545455,12.186112157,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5307801191
42660,1841,0.0174225905,0.0003891653,0.0156444374,-0.001273125,20150601.0,-0.432064769,2015.0,6.0,1.0,대우조선해양,LIG투자증권,양형모,대우조선해양,BUY,"23,000","16,100",-23.0,4.0,0.0,-0.08,0.4285714286,-1.01483871,0.0,0.0,0.0,21.0,유가증권시장,3569437600000.0,0.5678249663,28.903429175,0.0,0.0,0.0,0.0,0.0,0.0,-2.312274334,-29.33231877,0.0,0.0,0.0,0.0,-1.68,-21.3116129,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7422590458
60720,1841,-0.02537741,-0.042410835,-0.029382071,-0.046299633,20150601.0,-0.432064769,2015.0,6.0,1.0,KH바텍,LIG투자증권,강봉우,KH바텍,BUY,"27,000","22,300",2158.0,4.0,0.0,-0.325,0.2107623318,0.3453865337,0.0,0.0,0.0,10.0,코스닥,671200000000.0,0.3968912353,27.232332992,0.0,0.0,0.0,0.0,0.0,0.0,-8.850508222,9.4056810958,0.0,0.0,0.0,0.0,-3.25,3.4538653367,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.537740954
91700,1841,-0.01837741,-0.035410835,-0.021627241,-0.038544804,20150601.0,-0.432064769,2015.0,6.0,1.0,파트론,LIG투자증권,강봉우,파트론,BUY,"13,600","10,150",1088.0,4.0,0.0,-0.15,0.3399014778,-0.047285464,0.0,0.0,0.0,16.0,코스닥,636337817500.0,0.5279693455,27.178995419,0.0,0.0,0.0,0.0,0.0,0.0,-4.076849313,-1.285171412,0.0,0.0,0.0,0.0,-2.4,-0.756567426,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.837740954
35720,1750,0.055915026,0.0445738643,0.0544398978,0.0431010882,20150115.0,0.1740755199,2015.0,1.0,15.0,카카오,NH투자증권,정재우,다음카카오,BUY,"170,000","154,400",5681.0,4.0,1.0,1.125,0.1010362694,0.1156716418,0.0,0.0,0.0,30.0,코스닥,7186376400000.0,0.3427635744,29.603208185,1.0,0.0,0.0,0.0,29.603208185,0.0,33.303609208,3.424251693,0.0,0.0,30.0,0.0,33.75,3.4701492537,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5915026044
640,1959,0.078041995,0.0738209451,0.0809361555,0.0771560144,20151118.0,-0.064802023,2015.0,11.0,18.0,동아쏘시오홀딩스,SK증권,하태기,동아쏘시오홀딩스,매수,"230,000","157,500",12414.0,4.0,0.0,0.4935064935,0.4603174603,1.2323323143,0.0,0.0,0.0,3.0,유가증권시장,544513306500.0,0.9815710945,27.023158217,0.0,0.0,0.0,0.0,0.0,0.0,13.336104055,33.301511106,0.0,0.0,0.0,0.0,1.4805194805,3.696996943,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.8041995035
5180,1842,-0.042881495,-0.061809561,-0.041598125,-0.060448711,20150602.0,-1.182457627,2015.0,6.0,2.0,빙그레,교보증권,서영화,더위사냥,BUY,"105,000","86,300",4790.0,4.0,1.0,0.25,0.2166859791,0.1972006998,0.0,0.0,0.0,16.0,유가증권시장,742783571400.0,0.6516190756,27.333670549,1.0,0.0,0.0,0.0,27.333670549,0.0,6.8334176373,5.3902189611,0.0,0.0,16.0,0.0,4.0,3.1552111972,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.288149535
32830,1956,-0.051562724,-0.030501865,-0.05156083,-0.030876645,20151113.0,-0.922805054,2015.0,11.0,13.0,삼성생명,교보증권,박혜진,3Q15실적리뷰,BUY,"140,000","109,000",6116.0,4.0,0.0,0.0,0.2844036697,0.0,0.0,0.0,0.0,20.0,유가증권시장,23300000000000.0,0.9564265665,30.779474477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.156272447
34020,1963,0.1016106642,0.126266802,0.1049770759,0.1299235069,20151124.0,0.5348271058,2015.0,11.0,24.0,두산중공업,대신증권,이지윤,두산중공업,BUY,"26,000","23,800",-3129.0,4.0,0.0,-0.071428571,0.0924369748,2.4882943144,0.0,0.0,0.0,21.0,유가증권시장,2510642800000.0,3.031488254,28.551559914,0.0,0.0,0.0,0.0,0.0,0.0,-2.039397137,71.0446842,0.0,0.0,0.0,0.0,-1.5,52.254180602,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.161066415
39830,1846,0.0544834986,0.0311665734,0.043079648,0.0196667627,20150608.0,0.0527191711,2015.0,6.0,8.0,오로라,대신증권,김영주,오로라,BUY,"18,000","15,950",1130.0,4.0,0.0,0.0,0.1285266458,0.226927253,0.0,0.0,0.0,5.0,코스닥,142070148000.0,0.5634240459,25.679586773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8273980841,0.0,0.0,0.0,0.0,0.0,1.1346362649,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.4483498586
